#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.418629	1	0	0	0	0
1	3.73246	8.91592	3.73246	0	3.02815e-06	100
2	0.0249632	0.0596309	0.0249632	0	3.56955e-06	100
3	0.108015	0.258022	0.108015	0	2.57864e-06	100
4	0.00145319	0.00347132	0.00145319	0	1.30514e-06	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.418629	1	0	0	0	0
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.418629	1	0	0	0	0
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.418629	1	0	0	0	0
1	0.0282514	0.0674855	0.0282514	0	3.02815e-06	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.418629	1	0	0	0	0
1	0.0282514	0.0674855	0.0282514	0	3.02815e-06	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.419404	1	0	0	0	0
1	0.0512911	0.122295	0.0512911	0	2.79118e-06	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.419404	1	0	0	0	0
1	0.0512911	0.122295	0.0512911	0	2.79118e-06	100
2	0.0389441	0.0928559	0.0389441	0	1.86881e-06	100
3	0.0252259	0.060147	0.0252259	0	1.15649e-06	100
4	0.0134208	0.0319996	0.0134208	0	3.85373e-07	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.419404	1	0	0	0	0
1	0.0512911	0.122295	0.0512911	0	2.79118e-06	100
2	0.0389441	0.0928559	0.0389441	0	1.86881e-06	100
3	0.0252259	0.060147	0.0252259	0	1.15649e-06	100
4	0.0134208	0.0319996	0.0134208	0	3.85373e-07	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	0.419404	1	0	0	0	0
1	0.0512911	0.122295	0.0512911	0	2.79118e-06	100
2	0.0389441	0.0928559	0.0389441	0	1.86881e-06	100
3	0.0252259	0.060147	0.0252259	0	1.15649e-06	100
4	0.0134208	0.0319996	0.0134208	0	3.85373e-07	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.1844	1	0	0	0	0
1	0.0525381	0.0443585	0.0525381	0	2.79118e-06	100
2	0.0391141	0.0330245	0.0391141	0	1.86881e-06	100
3	0.0252807	0.0213448	0.0252807	0	1.15649e-06	100
4	0.0134306	0.0113396	0.0134306	0	3.85373e-07	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.18657	1	0	0	0	0
1	0.133582	0.112579	0.133582	0	7.69839e-06	100
2	0.0822481	0.0693161	0.0822481	0	3.58363e-05	100
3	0.331533	0.279406	0.331533	0	2.8656e-05	100
4	0.207873	0.175189	0.207873	0	7.2132e-05	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.18432	1	0	0	0	0
1	0.0280856	0.0237146	0.0280856	0	2.99729e-06	100
2	0.00142927	0.00120683	0.00142927	0	1.54762e-06	100
3	3.78245e-07	3.19379e-07	3.78245e-07	0	3.76698e-07	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.18432	1	0	0	0	0
1	0.0280856	0.0237146	0.0280856	0	2.99729e-06	100
2	0.00142927	0.00120683	0.00142927	0	1.54762e-06	100
3	3.78245e-07	3.19379e-07	3.78245e-07	0	3.76698e-07	100
