It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.689567	1	0	0
1	0.00300706	0.0043608	209.237	24
2	9.11565e-06	1.32194e-05	0.87598	16
3	3.65037e-08	5.29371e-08	0.0021098	9
4	3.3805e-10	4.90236e-10	1.60336e-05	3
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.689567	1	0	0
1	0.00300706	0.0043608	209.237	24
2	9.11565e-06	1.32194e-05	0.87598	16
3	3.65037e-08	5.29372e-08	0.00210972	9
4	3.3805e-10	4.90235e-10	1.59719e-05	3
