It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.718024	1	0	0
1	0.00770922	0.0107367	114.343	25
2	2.4775e-05	3.45044e-05	0.573154	18
3	1.18121e-07	1.64508e-07	0.00119824	10
4	6.32876e-10	8.81414e-10	5.68062e-06	4
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.718024	1	0	0
1	0.00770922	0.0107367	114.343	25
2	2.4775e-05	3.45044e-05	0.573153	18
3	1.18121e-07	1.64508e-07	0.0011982	10
4	6.3288e-10	8.81419e-10	5.70553e-06	4
