It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.22131	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.22131	1	0	0
1	0.00189039	0.00026178	358.986	19
2	5.95715e-06	8.2494e-07	2.54269	15
3	2.65653e-08	3.67873e-09	0.00835879	6
4	8.14914e-10	1.12849e-10	4.58357e-05	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.22131	1	0	0
1	0.00189039	0.00026178	358.986	19
2	5.95715e-06	8.2494e-07	2.54269	15
3	2.65653e-08	3.67873e-09	0.00835879	6
4	8.14914e-10	1.12849e-10	4.58357e-05	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.22131	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.22131	1	0	0
1	0.00189039	0.00026178	358.986	19
2	5.95715e-06	8.2494e-07	2.54269	15
3	2.65653e-08	3.67873e-09	0.00835879	6
4	8.14914e-10	1.12849e-10	4.58359e-05	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.22131	1	0	0
1	0.00189039	0.00026178	358.986	19
2	5.95715e-06	8.2494e-07	2.54269	15
3	2.65653e-08	3.67873e-09	0.00835879	6
4	8.14914e-10	1.12849e-10	4.58359e-05	2
