It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	14.4427	1	0	0
1	0.000478357	3.3121e-05	1290.54	17
2	1.493e-06	1.03374e-07	9.92756	12
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	14.4427	1	0	0
1	0.000478357	3.3121e-05	1290.54	17
2	1.493e-06	1.03374e-07	9.92756	12
3	6.99893e-09	4.84599e-10	0.263799	4
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	14.4427	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	14.4427	1	0	0
1	0.000478357	3.3121e-05	1290.54	17
2	1.493e-06	1.03374e-07	9.94728	12
3	6.99893e-09	4.84599e-10	0.240789	4
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	14.4427	1	0	0
1	0.000478357	3.3121e-05	1290.54	17
2	1.493e-06	1.03374e-07	9.94728	12
3	6.99893e-09	4.84599e-10	0.240789	4
