It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.07703	1	0	0
1	0.000337949	8.2891e-05	1066.74	19
2	9.62392e-07	2.36052e-07	7.05902	13
3	4.16103e-09	1.0206e-09	0.0233232	4
4	1.15311e-09	2.8283e-10	2.45621e-05	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.07703	1	0	0
1	0.000337949	8.2891e-05	1066.74	19
2	9.62392e-07	2.36052e-07	7.05902	13
3	4.16103e-09	1.0206e-09	0.0233232	4
4	1.15311e-09	2.8283e-10	2.45621e-05	1
