It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.95171	1	0	0
1	0.000441649	0.000226288	776.931	19
2	1.23319e-06	6.31852e-07	4.74944	14
3	5.11481e-09	2.62068e-09	0.0138628	4
4	1.20776e-09	6.1882e-10	1.19259e-05	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.95171	1	0	0
1	0.000441649	0.000226288	776.931	19
2	1.23319e-06	6.31852e-07	4.74944	14
3	5.11478e-09	2.62066e-09	0.0138628	4
4	1.20776e-09	6.1882e-10	1.19259e-05	1
