It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	10.2125	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	10.2125	1	0	0
1	0.000953084	9.3325e-05	667.443	18
2	2.98449e-06	2.92238e-07	4.97974	14
3	1.33459e-08	1.30682e-09	0.0165729	5
4	7.31356e-10	7.16136e-11	0.000107909	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	10.2125	1	0	0
1	0.000953084	9.3325e-05	667.443	18
2	2.98449e-06	2.92238e-07	4.97974	14
3	1.33459e-08	1.30682e-09	0.0165729	5
4	7.31356e-10	7.16136e-11	0.000107909	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	10.2125	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	10.2125	1	0	0
1	0.000953084	9.3325e-05	667.443	18
2	2.98449e-06	2.92238e-07	4.97974	14
3	1.33459e-08	1.30682e-09	0.0165729	5
4	7.31356e-10	7.16136e-11	0.00010791	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	10.2125	1	0	0
1	0.000953084	9.3325e-05	667.443	18
2	2.98449e-06	2.92238e-07	4.97974	14
3	1.33459e-08	1.30682e-09	0.0165729	5
4	7.31356e-10	7.16136e-11	0.00010791	2
