It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.21077	1	0	0
1	0.00404814	0.0018311	164.994	22
2	1.25368e-05	5.67079e-06	0.836206	16
3	5.41932e-08	2.45133e-08	0.00240526	9
4	4.25707e-10	1.92561e-10	1.48069e-05	3
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.21077	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.21077	1	0	0
1	0.00404814	0.0018311	164.994	22
2	1.25368e-05	5.67079e-06	0.836206	16
3	5.41933e-08	2.45133e-08	0.00240526	9
4	4.25711e-10	1.92563e-10	1.48245e-05	3
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.21077	1	0	0
1	0.00404814	0.0018311	164.994	22
2	1.25368e-05	5.67079e-06	0.836206	16
3	5.41933e-08	2.45133e-08	0.00240526	9
4	4.25711e-10	1.92563e-10	1.48245e-05	3
