It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.79921	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.79921	1	0	0
1	0.0217474	0.0120872	71.5718	23
2	7.68151e-05	4.26938e-05	0.404223	18
3	3.96072e-07	2.20137e-07	0.00092825	11
4	2.00054e-09	1.1119e-09	4.01782e-06	5
5	2.71565e-10	1.50936e-10	4.65001e-08	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.79921	1	0	0
1	0.0217474	0.0120872	71.5718	23
2	7.68151e-05	4.26938e-05	0.404223	18
3	3.96072e-07	2.20137e-07	0.00092825	11
4	2.00054e-09	1.1119e-09	4.01782e-06	5
5	2.71565e-10	1.50936e-10	4.65001e-08	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.79921	1	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.79921	1	0	0
1	0.0217474	0.0120872	71.5718	23
2	7.68151e-05	4.26938e-05	0.404224	18
3	3.96072e-07	2.20136e-07	0.000928191	11
4	2.00053e-09	1.11189e-09	4.01702e-06	5
5	2.71565e-10	1.50935e-10	6.53986e-08	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.79921	1	0	0
1	0.0217474	0.0120872	71.5718	23
2	7.68151e-05	4.26938e-05	0.404224	18
3	3.96072e-07	2.20136e-07	0.000928191	11
4	2.00053e-09	1.11189e-09	4.01702e-06	5
5	2.71565e-10	1.50935e-10	6.53986e-08	1
