It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.76016	1	0	0
1	0.000222671	8.06733e-05	1444.63	18
2	6.17817e-07	2.23834e-07	9.29955	12
3	3.72766e-09	1.35052e-09	0.0329374	3
4	2.80316e-09	1.01558e-09	2.76732e-05	1
5	2.80316e-09	1.01558e-09	0	0
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.76016	1	0	0
1	0.000222671	8.06733e-05	1444.63	18
2	6.17817e-07	2.23834e-07	9.29955	12
3	3.72766e-09	1.35052e-09	0.0329374	3
4	2.80316e-09	1.01558e-09	2.76732e-05	1
5	2.80316e-09	1.01558e-09	0	0
