It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	6.25387	1	0	0
1	0.000543339	8.68804e-05	817.892	18
2	1.61369e-06	2.5803e-07	5.67593	13
3	7.19002e-09	1.14969e-09	0.0182821	4
4	1.76315e-09	2.81929e-10	3.01629e-05	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	6.25387	1	0	0
1	0.000543339	8.68804e-05	817.892	18
2	1.61369e-06	2.5803e-07	5.67593	13
3	7.19002e-09	1.14969e-09	0.0182821	4
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	6.25387	1	0	0
1	0.000543339	8.68804e-05	817.892	18
2	1.61369e-06	2.5803e-07	5.67593	13
3	7.19002e-09	1.14969e-09	0.0182821	4
4	1.76315e-09	2.81929e-10	3.01629e-05	1
