  Residual norms for solver_ solve.
  0 KSP Residual norm 5.852305666631e-01 
  1 KSP Residual norm 5.005291247446e-03 
  2 KSP Residual norm 2.456960670560e-03 
  3 KSP Residual norm 7.689018672041e-04 
  4 KSP Residual norm 4.334550201600e-04 
  5 KSP Residual norm 4.330600002618e-04 
  6 KSP Residual norm 1.908867873006e-04 
  7 KSP Residual norm 8.145735391943e-05 
  8 KSP Residual norm 4.456215698438e-05 
  9 KSP Residual norm 2.452768637980e-05 
 10 KSP Residual norm 2.450786972179e-05 
 11 KSP Residual norm 1.564965499724e-05 
 12 KSP Residual norm 7.653783297900e-06 
 13 KSP Residual norm 4.541010687702e-06 
 14 KSP Residual norm 2.751662613390e-06 
 15 KSP Residual norm 2.748280622595e-06 
 16 KSP Residual norm 1.716408462361e-06 
 17 KSP Residual norm 1.137859506913e-06 
 18 KSP Residual norm 6.593663406041e-07 
 19 KSP Residual norm 3.908711391863e-07 
 20 KSP Residual norm 3.876240771999e-07 
 21 KSP Residual norm 2.128228386465e-07 
 22 KSP Residual norm 1.159661541650e-07 
 23 KSP Residual norm 4.398748036745e-08 
 24 KSP Residual norm 1.889322368201e-08 
 25 KSP Residual norm 1.826928631683e-08 
 26 KSP Residual norm 9.043263620539e-09 
 27 KSP Residual norm 3.638999168719e-09 
 28 KSP Residual norm 1.547858126820e-09 
 29 KSP Residual norm 7.153963882242e-10 
 30 KSP Residual norm 6.543982274072e-10 
 31 KSP Residual norm 3.220204256176e-10 
 32 KSP Residual norm 1.883747915835e-10 
 33 KSP Residual norm 1.256974523023e-10 
 34 KSP Residual norm 7.743098168665e-11 
