  Residual norms for solver_ solve.
  0 KSP Residual norm 1.917779919515e+00 
  1 KSP Residual norm 4.261141346774e-02 
  2 KSP Residual norm 1.679361640065e-02 
  3 KSP Residual norm 8.752076074330e-03 
  4 KSP Residual norm 8.384118276353e-03 
  5 KSP Residual norm 3.842961419023e-03 
  6 KSP Residual norm 3.591326598897e-03 
  7 KSP Residual norm 1.794534121661e-03 
  8 KSP Residual norm 1.567213720903e-03 
  9 KSP Residual norm 1.084143160796e-03 
 10 KSP Residual norm 7.746511745335e-04 
 11 KSP Residual norm 4.344987331462e-04 
 12 KSP Residual norm 3.454695109300e-04 
 13 KSP Residual norm 2.516436322725e-04 
 14 KSP Residual norm 1.538661120561e-04 
 15 KSP Residual norm 1.336119100162e-04 
 16 KSP Residual norm 8.439816921860e-05 
 17 KSP Residual norm 8.352803840149e-05 
 18 KSP Residual norm 4.053879026253e-05 
 19 KSP Residual norm 3.988041790065e-05 
 20 KSP Residual norm 2.475419154803e-05 
 21 KSP Residual norm 2.416559171396e-05 
 22 KSP Residual norm 1.298459860754e-05 
 23 KSP Residual norm 1.292708661855e-05 
 24 KSP Residual norm 8.736239116146e-06 
 25 KSP Residual norm 8.345947703824e-06 
 26 KSP Residual norm 4.042524486963e-06 
 27 KSP Residual norm 3.877484346735e-06 
 28 KSP Residual norm 2.514036671249e-06 
 29 KSP Residual norm 2.065143317429e-06 
 30 KSP Residual norm 1.056130408854e-06 
 31 KSP Residual norm 9.141964754075e-07 
 32 KSP Residual norm 5.257358255795e-07 
 33 KSP Residual norm 4.375239722080e-07 
 34 KSP Residual norm 2.291844021386e-07 
 35 KSP Residual norm 1.882244822913e-07 
 36 KSP Residual norm 8.873690476450e-08 
 37 KSP Residual norm 6.997017619638e-08 
 38 KSP Residual norm 3.711337653515e-08 
 39 KSP Residual norm 3.242201271652e-08 
 40 KSP Residual norm 1.535875675613e-08 
 41 KSP Residual norm 1.273681046360e-08 
 42 KSP Residual norm 5.364311888879e-09 
 43 KSP Residual norm 5.137447976161e-09 
 44 KSP Residual norm 2.986308608632e-09 
 45 KSP Residual norm 2.984488753299e-09 
 46 KSP Residual norm 1.248666268694e-09 
 47 KSP Residual norm 1.240382722124e-09 
 48 KSP Residual norm 6.627572682518e-10 
 49 KSP Residual norm 6.623835437590e-10 
 50 KSP Residual norm 3.698648400248e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 1.917779919515e+00 
  1 KSP Residual norm 4.261141346778e-02 
  2 KSP Residual norm 1.679333659724e-02 
  3 KSP Residual norm 8.753352154213e-03 
  4 KSP Residual norm 8.393652583362e-03 
  5 KSP Residual norm 4.090587856409e-03 
  6 KSP Residual norm 3.958874301956e-03 
  7 KSP Residual norm 2.457136331732e-03 
  8 KSP Residual norm 2.198475206127e-03 
  9 KSP Residual norm 1.320603692965e-03 
 10 KSP Residual norm 1.053048377150e-03 
 11 KSP Residual norm 7.865326788952e-04 
 12 KSP Residual norm 5.917773264732e-04 
 13 KSP Residual norm 4.064841141603e-04 
 14 KSP Residual norm 3.232977031031e-04 
 15 KSP Residual norm 2.574644084537e-04 
 16 KSP Residual norm 1.692610368866e-04 
 17 KSP Residual norm 1.457559591920e-04 
 18 KSP Residual norm 1.002948054964e-04 
 19 KSP Residual norm 9.898476538070e-05 
 20 KSP Residual norm 6.217522913175e-05 
 21 KSP Residual norm 6.109957244185e-05 
 22 KSP Residual norm 3.568598896060e-05 
 23 KSP Residual norm 3.514401334484e-05 
 24 KSP Residual norm 2.257635133574e-05 
 25 KSP Residual norm 2.218746317003e-05 
 26 KSP Residual norm 1.311634530683e-05 
 27 KSP Residual norm 1.290302589253e-05 
 28 KSP Residual norm 8.454854548635e-06 
 29 KSP Residual norm 8.225961092017e-06 
 30 KSP Residual norm 6.062445306421e-06 
 31 KSP Residual norm 5.730103769298e-06 
 32 KSP Residual norm 3.068611862757e-06 
 33 KSP Residual norm 2.836705281906e-06 
 34 KSP Residual norm 1.916235528759e-06 
 35 KSP Residual norm 1.579260763602e-06 
 36 KSP Residual norm 1.135907397011e-06 
 37 KSP Residual norm 9.649994989453e-07 
 38 KSP Residual norm 5.136314746328e-07 
 39 KSP Residual norm 4.367830859614e-07 
 40 KSP Residual norm 2.857973549865e-07 
 41 KSP Residual norm 2.388368441862e-07 
 42 KSP Residual norm 1.426885946481e-07 
 43 KSP Residual norm 1.154753850303e-07 
 44 KSP Residual norm 6.889589607405e-08 
 45 KSP Residual norm 5.815337312764e-08 
 46 KSP Residual norm 2.995079136094e-08 
 47 KSP Residual norm 2.547778271900e-08 
 48 KSP Residual norm 1.370264611428e-08 
 49 KSP Residual norm 1.203080619539e-08 
 50 KSP Residual norm 7.339981954634e-09 
 51 KSP Residual norm 6.626122170287e-09 
 52 KSP Residual norm 3.770946529107e-09 
 53 KSP Residual norm 3.700238403798e-09 
 54 KSP Residual norm 2.173578584209e-09 
 55 KSP Residual norm 2.171940820166e-09 
 56 KSP Residual norm 1.235368147473e-09 
 57 KSP Residual norm 1.232029342836e-09 
 58 KSP Residual norm 6.961083131378e-10 
 59 KSP Residual norm 6.959835262468e-10 
 60 KSP Residual norm 4.444920367690e-10 
