  Residual norms for solver_ solve.
  0 KSP Residual norm 2.213306709242e+00 
  1 KSP Residual norm 6.854453060096e-02 
  2 KSP Residual norm 6.616219688328e-02 
  3 KSP Residual norm 6.069916835275e-02 
  4 KSP Residual norm 5.865372649713e-02 
  5 KSP Residual norm 5.459097041608e-02 
  6 KSP Residual norm 5.383076704252e-02 
  7 KSP Residual norm 4.170075552585e-02 
  8 KSP Residual norm 3.206552340676e-02 
  9 KSP Residual norm 2.357322386188e-02 
 10 KSP Residual norm 1.477859630734e-02 
 11 KSP Residual norm 1.076512794036e-02 
 12 KSP Residual norm 5.529101358728e-03 
 13 KSP Residual norm 3.482143915303e-03 
 14 KSP Residual norm 2.842399360005e-03 
 15 KSP Residual norm 2.404691204851e-03 
 16 KSP Residual norm 2.003663848541e-03 
 17 KSP Residual norm 1.576216931003e-03 
 18 KSP Residual norm 9.886717503870e-04 
 19 KSP Residual norm 5.287311889122e-04 
 20 KSP Residual norm 2.921289314679e-04 
 21 KSP Residual norm 1.836674158799e-04 
 22 KSP Residual norm 1.310672573002e-04 
 23 KSP Residual norm 7.070148038370e-05 
 24 KSP Residual norm 3.540504254758e-05 
 25 KSP Residual norm 2.219148139335e-05 
 26 KSP Residual norm 1.076241262155e-05 
 27 KSP Residual norm 6.270981194040e-06 
 28 KSP Residual norm 2.876597036120e-06 
 29 KSP Residual norm 1.767202994160e-06 
 30 KSP Residual norm 1.253815520877e-06 
 31 KSP Residual norm 6.800084512028e-07 
 32 KSP Residual norm 4.675167662977e-07 
 33 KSP Residual norm 3.021224272382e-07 
 34 KSP Residual norm 2.222522562049e-07 
 35 KSP Residual norm 1.455617076908e-07 
 36 KSP Residual norm 9.578160343700e-08 
 37 KSP Residual norm 6.095896401220e-08 
 38 KSP Residual norm 3.597976953345e-08 
 39 KSP Residual norm 1.758248437367e-08 
 40 KSP Residual norm 8.384250278780e-09 
 41 KSP Residual norm 4.447217046428e-09 
 42 KSP Residual norm 1.737021604461e-09 
 43 KSP Residual norm 8.033549534977e-10 
 44 KSP Residual norm 4.066450014244e-10 
 45 KSP Residual norm 1.974562859012e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 1.484655688036e-02 
  1 KSP Residual norm 3.878487973140e-03 
  2 KSP Residual norm 1.106975457030e-03 
  3 KSP Residual norm 6.214556382836e-04 
  4 KSP Residual norm 3.102317950149e-04 
  5 KSP Residual norm 1.802420222640e-04 
  6 KSP Residual norm 1.424790896122e-04 
  7 KSP Residual norm 1.124642494095e-04 
  8 KSP Residual norm 9.331716488157e-05 
  9 KSP Residual norm 7.293957728326e-05 
 10 KSP Residual norm 4.713080786557e-05 
 11 KSP Residual norm 2.693783308961e-05 
 12 KSP Residual norm 1.542988837742e-05 
 13 KSP Residual norm 8.018342348961e-06 
 14 KSP Residual norm 4.468518166787e-06 
 15 KSP Residual norm 3.541284525324e-06 
 16 KSP Residual norm 2.523690391404e-06 
 17 KSP Residual norm 1.455832071467e-06 
 18 KSP Residual norm 1.124259294944e-06 
 19 KSP Residual norm 9.081819644419e-07 
 20 KSP Residual norm 6.275671204282e-07 
 21 KSP Residual norm 4.445737124452e-07 
 22 KSP Residual norm 3.214606123441e-07 
 23 KSP Residual norm 2.390632275193e-07 
 24 KSP Residual norm 1.618689619813e-07 
 25 KSP Residual norm 1.017636064054e-07 
 26 KSP Residual norm 6.199756576826e-08 
 27 KSP Residual norm 3.263713275673e-08 
 28 KSP Residual norm 2.405840547902e-08 
 29 KSP Residual norm 1.635277471823e-08 
 30 KSP Residual norm 1.016211645265e-08 
 31 KSP Residual norm 5.035907287835e-09 
 32 KSP Residual norm 3.752731862328e-09 
 33 KSP Residual norm 2.468345709501e-09 
 34 KSP Residual norm 1.259051609283e-09 
 35 KSP Residual norm 4.820884015765e-10 
 36 KSP Residual norm 2.631581279135e-10 
  Residual norms for solver_ solve.
  0 KSP Residual norm 2.174421720885e-04 
  1 KSP Residual norm 3.194742178039e-05 
  2 KSP Residual norm 7.237657365425e-06 
  3 KSP Residual norm 2.056467000476e-06 
  4 KSP Residual norm 1.241495633943e-06 
  5 KSP Residual norm 9.371761180766e-07 
