  Residual norms for solver_ solve.
  0 KSP Residual norm 1.890827264054e+00 
  1 KSP Residual norm 7.883073207614e-04 
  2 KSP Residual norm 4.326636293987e-04 
  3 KSP Residual norm 3.239766819831e-04 
  4 KSP Residual norm 3.225524627928e-04 
  5 KSP Residual norm 1.969876730786e-04 
  6 KSP Residual norm 1.101570993436e-04 
  7 KSP Residual norm 6.148572029665e-05 
  8 KSP Residual norm 5.570863114961e-05 
  9 KSP Residual norm 3.567784268560e-05 
 10 KSP Residual norm 2.136185912310e-05 
 11 KSP Residual norm 1.281951911688e-05 
 12 KSP Residual norm 1.005342643962e-05 
 13 KSP Residual norm 7.616902393332e-06 
 14 KSP Residual norm 4.444825078484e-06 
 15 KSP Residual norm 2.530922415131e-06 
 16 KSP Residual norm 1.564110172378e-06 
 17 KSP Residual norm 1.521151723521e-06 
 18 KSP Residual norm 9.403936471126e-07 
 19 KSP Residual norm 6.198105484298e-07 
 20 KSP Residual norm 4.170219623176e-07 
 21 KSP Residual norm 4.166331864522e-07 
 22 KSP Residual norm 2.716822657206e-07 
 23 KSP Residual norm 1.697467836337e-07 
 24 KSP Residual norm 1.022786646158e-07 
 25 KSP Residual norm 1.022445990810e-07 
 26 KSP Residual norm 5.575995098752e-08 
 27 KSP Residual norm 3.131721283052e-08 
 28 KSP Residual norm 1.774026484126e-08 
 29 KSP Residual norm 1.773625914790e-08 
 30 KSP Residual norm 9.934113505438e-09 
 31 KSP Residual norm 5.728727771006e-09 
 32 KSP Residual norm 3.233786775255e-09 
 33 KSP Residual norm 3.232353541648e-09 
 34 KSP Residual norm 1.761662561628e-09 
 35 KSP Residual norm 9.873775074924e-10 
 36 KSP Residual norm 7.384313040772e-10 
 37 KSP Residual norm 6.725540548647e-10 
 38 KSP Residual norm 6.187079744378e-10 
 39 KSP Residual norm 5.425265124091e-10 
 40 KSP Residual norm 4.889134752971e-10 
 41 KSP Residual norm 4.485844056383e-10 
 42 KSP Residual norm 4.168289755359e-10 
 43 KSP Residual norm 3.909953258028e-10 
 44 KSP Residual norm 3.780223185372e-10 
