  Residual norms for solver_ solve.
  0 KSP Residual norm 8.121235419719e-01 
  1 KSP Residual norm 3.226600988368e-04 
  2 KSP Residual norm 3.224436785870e-04 
  3 KSP Residual norm 1.592657608604e-04 
  4 KSP Residual norm 1.592306269426e-04 
  5 KSP Residual norm 5.649963772006e-05 
  6 KSP Residual norm 5.584661303325e-05 
  7 KSP Residual norm 3.516913659969e-05 
  8 KSP Residual norm 3.122485653572e-05 
  9 KSP Residual norm 2.714916986168e-05 
 10 KSP Residual norm 1.524380254728e-05 
 11 KSP Residual norm 1.500533647115e-05 
 12 KSP Residual norm 6.903498426132e-06 
 13 KSP Residual norm 6.879251096709e-06 
 14 KSP Residual norm 4.418100440006e-06 
 15 KSP Residual norm 3.638070574760e-06 
 16 KSP Residual norm 3.397504557450e-06 
 17 KSP Residual norm 3.387738572570e-06 
 18 KSP Residual norm 3.377909306478e-06 
 19 KSP Residual norm 3.368164685839e-06 
 20 KSP Residual norm 3.358503998796e-06 
 21 KSP Residual norm 3.348925941389e-06 
 22 KSP Residual norm 3.339429370435e-06 
 23 KSP Residual norm 3.330013131667e-06 
 24 KSP Residual norm 3.320676099762e-06 
 25 KSP Residual norm 3.311417170340e-06 
 26 KSP Residual norm 3.302235260600e-06 
 27 KSP Residual norm 3.293129308624e-06 
 28 KSP Residual norm 3.284098272882e-06 
 29 KSP Residual norm 3.275141131728e-06 
 30 KSP Residual norm 3.266256882916e-06 
 31 KSP Residual norm 3.257444543129e-06 
 32 KSP Residual norm 3.248703147519e-06 
 33 KSP Residual norm 3.240031749267e-06 
 34 KSP Residual norm 3.231429419153e-06 
 35 KSP Residual norm 3.222895245132e-06 
 36 KSP Residual norm 3.214428331932e-06 
 37 KSP Residual norm 3.206027800662e-06 
 38 KSP Residual norm 3.197692788421e-06 
 39 KSP Residual norm 3.189422447934e-06 
 40 KSP Residual norm 3.181215947184e-06 
 41 KSP Residual norm 3.173072469066e-06 
 42 KSP Residual norm 3.164991211039e-06 
 43 KSP Residual norm 3.156971384798e-06 
 44 KSP Residual norm 3.149012215952e-06 
 45 KSP Residual norm 3.141112943705e-06 
 46 KSP Residual norm 3.133272820556e-06 
 47 KSP Residual norm 3.125491111998e-06 
 48 KSP Residual norm 3.117767096231e-06 
 49 KSP Residual norm 3.110100063878e-06 
 50 KSP Residual norm 3.102489317717e-06 
 51 KSP Residual norm 3.094934172408e-06 
 52 KSP Residual norm 3.087433954239e-06 
 53 KSP Residual norm 3.079988000871e-06 
 54 KSP Residual norm 3.072595661092e-06 
 55 KSP Residual norm 3.065256294579e-06 
 56 KSP Residual norm 3.057969271666e-06 
 57 KSP Residual norm 3.050733973115e-06 
 58 KSP Residual norm 3.043549789894e-06 
 59 KSP Residual norm 3.036416122966e-06 
 60 KSP Residual norm 3.029332383076e-06 
 61 KSP Residual norm 3.022297990545e-06 
 62 KSP Residual norm 3.015312375077e-06 
 63 KSP Residual norm 3.008374975557e-06 
 64 KSP Residual norm 3.001485239867e-06 
 65 KSP Residual norm 2.994642624699e-06 
 66 KSP Residual norm 2.987846595378e-06 
 67 KSP Residual norm 2.981096625681e-06 
 68 KSP Residual norm 2.974392197673e-06 
 69 KSP Residual norm 2.967732801533e-06 
 70 KSP Residual norm 2.961117935397e-06 
 71 KSP Residual norm 2.954547105195e-06 
