  Residual norms for solver_ solve.
  0 KSP Residual norm 1.582152760063e+01 
  1 KSP Residual norm 5.437962899234e-02 
  2 KSP Residual norm 3.521044122220e-03 
  3 KSP Residual norm 2.008377385443e-03 
  4 KSP Residual norm 1.008904910097e-03 
  5 KSP Residual norm 2.755090762345e-04 
  6 KSP Residual norm 1.472016792305e-04 
  7 KSP Residual norm 8.085456663024e-05 
  8 KSP Residual norm 2.156302356798e-05 
  9 KSP Residual norm 1.196491255872e-05 
 10 KSP Residual norm 5.188891595147e-06 
 11 KSP Residual norm 2.342538625669e-06 
 12 KSP Residual norm 1.000696101115e-06 
 13 KSP Residual norm 6.587848637999e-07 
 14 KSP Residual norm 3.276438320493e-07 
 15 KSP Residual norm 2.054957150255e-07 
 16 KSP Residual norm 1.347921180592e-07 
 17 KSP Residual norm 6.364508750158e-08 
 18 KSP Residual norm 3.269556894048e-08 
 19 KSP Residual norm 1.732215070183e-08 
 20 KSP Residual norm 7.021419662668e-09 
 21 KSP Residual norm 3.848679976223e-09 
 22 KSP Residual norm 1.286608934279e-09 
  Residual norms for solver_ solve.
  0 KSP Residual norm 1.582343988055e-01 
  1 KSP Residual norm 4.191537747228e-05 
  2 KSP Residual norm 1.337383967512e-05 
  3 KSP Residual norm 4.042858290574e-06 
  4 KSP Residual norm 1.948052933448e-06 
  5 KSP Residual norm 1.315891504880e-06 
  6 KSP Residual norm 9.747203173383e-07 
  7 KSP Residual norm 4.265627180071e-07 
  8 KSP Residual norm 1.776283816608e-07 
  9 KSP Residual norm 9.411470739222e-08 
 10 KSP Residual norm 3.232166027414e-08 
 11 KSP Residual norm 2.592856682214e-08 
 12 KSP Residual norm 1.476336656874e-08 
 13 KSP Residual norm 7.572590127804e-09 
 14 KSP Residual norm 3.407102079566e-09 
 15 KSP Residual norm 2.204565772350e-09 
 16 KSP Residual norm 1.194092199595e-09 
 17 KSP Residual norm 1.045436914870e-09 
 18 KSP Residual norm 8.054514281579e-10 
 19 KSP Residual norm 4.360564842508e-10 
 20 KSP Residual norm 2.431217176107e-10 
 21 KSP Residual norm 9.522381548767e-11 
  Residual norms for solver_ solve.
  0 KSP Residual norm 1.584559245069e-03 
  1 KSP Residual norm 1.180397612037e-07 
  2 KSP Residual norm 1.809222314382e-08 
  3 KSP Residual norm 7.744835391429e-09 
  4 KSP Residual norm 5.859715036125e-09 
  5 KSP Residual norm 1.945592956600e-09 
  6 KSP Residual norm 6.968251461668e-10 
  7 KSP Residual norm 6.758446488929e-10 
  8 KSP Residual norm 3.403869981928e-10 
  9 KSP Residual norm 1.234281608449e-10 
 10 KSP Residual norm 6.023426789056e-11 
  Residual norms for solver_ solve.
  0 KSP Residual norm 1.636274166310e-05 
  1 KSP Residual norm 2.240335010299e-10 
  2 KSP Residual norm 1.899556792239e-11 
