  Residual norms for solver_ solve.
  0 KSP Residual norm 4.090951986872e-01 
  1 KSP Residual norm 3.495933202953e-03 
  2 KSP Residual norm 1.713539884739e-03 
  3 KSP Residual norm 5.384727140904e-04 
  4 KSP Residual norm 4.099687246093e-04 
  5 KSP Residual norm 3.059084435524e-04 
  6 KSP Residual norm 1.366345945874e-04 
  7 KSP Residual norm 5.961122836488e-05 
  8 KSP Residual norm 3.422446406859e-05 
  9 KSP Residual norm 3.421679710314e-05 
 10 KSP Residual norm 1.907811193391e-05 
 11 KSP Residual norm 1.197826456400e-05 
 12 KSP Residual norm 6.086249783879e-06 
 13 KSP Residual norm 5.470487062148e-06 
 14 KSP Residual norm 3.457609297607e-06 
 15 KSP Residual norm 2.176658634054e-06 
 16 KSP Residual norm 1.341444086325e-06 
 17 KSP Residual norm 8.941805267447e-07 
 18 KSP Residual norm 8.940077174451e-07 
 19 KSP Residual norm 5.337599633093e-07 
 20 KSP Residual norm 3.108170761256e-07 
 21 KSP Residual norm 1.840784528007e-07 
 22 KSP Residual norm 1.396969783858e-07 
 23 KSP Residual norm 9.946999999740e-08 
 24 KSP Residual norm 4.354768482025e-08 
 25 KSP Residual norm 1.769651505872e-08 
 26 KSP Residual norm 8.884703999187e-09 
 27 KSP Residual norm 8.881873967436e-09 
 28 KSP Residual norm 3.656006293751e-09 
 29 KSP Residual norm 1.558142480404e-09 
 30 KSP Residual norm 7.179018783603e-10 
 31 KSP Residual norm 6.449845968772e-10 
 32 KSP Residual norm 3.184820278906e-10 
 33 KSP Residual norm 1.755335051740e-10 
 34 KSP Residual norm 1.098234861314e-10 
 35 KSP Residual norm 7.149774179544e-11 
