  Residual norms for solver_ solve.
  0 KSP Residual norm 4.839104982821e-01 
  1 KSP Residual norm 1.141385900036e-02 
  2 KSP Residual norm 5.850575239846e-03 
  3 KSP Residual norm 4.939496249359e-03 
  4 KSP Residual norm 2.317393341016e-03 
  5 KSP Residual norm 2.313258007856e-03 
  6 KSP Residual norm 8.426325106793e-04 
  7 KSP Residual norm 8.412689779409e-04 
  8 KSP Residual norm 4.567007973065e-04 
  9 KSP Residual norm 4.562881338519e-04 
 10 KSP Residual norm 2.475309185822e-04 
 11 KSP Residual norm 1.326812445138e-04 
 12 KSP Residual norm 1.325101184346e-04 
 13 KSP Residual norm 6.601422884624e-05 
 14 KSP Residual norm 3.621983538019e-05 
 15 KSP Residual norm 2.217189019248e-05 
 16 KSP Residual norm 7.895480585417e-06 
 17 KSP Residual norm 7.768424163448e-06 
 18 KSP Residual norm 2.668996044607e-06 
 19 KSP Residual norm 9.186299412908e-07 
 20 KSP Residual norm 9.175612047431e-07 
 21 KSP Residual norm 4.183384920197e-07 
 22 KSP Residual norm 2.517862213355e-07 
 23 KSP Residual norm 1.443626077719e-07 
 24 KSP Residual norm 1.343563277358e-07 
 25 KSP Residual norm 6.946325971895e-08 
 26 KSP Residual norm 3.563376046527e-08 
 27 KSP Residual norm 3.560508145391e-08 
 28 KSP Residual norm 1.490904108893e-08 
 29 KSP Residual norm 6.389273937170e-09 
 30 KSP Residual norm 2.419336261850e-09 
 31 KSP Residual norm 2.291158700602e-09 
 32 KSP Residual norm 7.869084678947e-10 
 33 KSP Residual norm 5.546131708188e-10 
 34 KSP Residual norm 4.527999608803e-10 
 35 KSP Residual norm 4.190081698417e-10 
 36 KSP Residual norm 3.917272795814e-10 
 37 KSP Residual norm 3.507169518726e-10 
 38 KSP Residual norm 3.201371568502e-10 
 39 KSP Residual norm 2.963733108857e-10 
 40 KSP Residual norm 2.772205216994e-10 
 41 KSP Residual norm 2.613577098277e-10 
 42 KSP Residual norm 2.479393930434e-10 
 43 KSP Residual norm 2.363960138306e-10 
 44 KSP Residual norm 2.263283945436e-10 
 45 KSP Residual norm 2.174659110837e-10 
 46 KSP Residual norm 2.106244251592e-10 
 47 KSP Residual norm 2.079330839975e-10 
 48 KSP Residual norm 2.038026828881e-10 
 49 KSP Residual norm 1.981603689942e-10 
 50 KSP Residual norm 1.927467526705e-10 
 51 KSP Residual norm 1.877139534430e-10 
 52 KSP Residual norm 1.830485184802e-10 
 53 KSP Residual norm 1.787133047076e-10 
 54 KSP Residual norm 1.746720315570e-10 
 55 KSP Residual norm 1.708930521689e-10 
 56 KSP Residual norm 1.673491859354e-10 
 57 KSP Residual norm 1.640170246115e-10 
 58 KSP Residual norm 1.608762962867e-10 
 59 KSP Residual norm 1.579093463748e-10 
 60 KSP Residual norm 1.551007187229e-10 
 61 KSP Residual norm 1.524368157259e-10 
 62 KSP Residual norm 1.499056205226e-10 
 63 KSP Residual norm 1.474964683132e-10 
 64 KSP Residual norm 1.451998568534e-10 
 65 KSP Residual norm 1.430072884333e-10 
 66 KSP Residual norm 1.409111373395e-10 
 67 KSP Residual norm 1.389045380818e-10 
 68 KSP Residual norm 1.369812906473e-10 
 69 KSP Residual norm 1.351357797972e-10 
 70 KSP Residual norm 1.333629060125e-10 
 71 KSP Residual norm 1.316580261512e-10 
 72 KSP Residual norm 1.300169022439e-10 
 73 KSP Residual norm 1.284356571405e-10 
 74 KSP Residual norm 1.269107359496e-10 
 75 KSP Residual norm 1.254388723985e-10 
 76 KSP Residual norm 1.240170593880e-10 
 77 KSP Residual norm 1.226425231374e-10 
 78 KSP Residual norm 1.213127004130e-10 
 79 KSP Residual norm 1.200252184164e-10 
 80 KSP Residual norm 1.187778769714e-10 
 81 KSP Residual norm 1.175686327057e-10 
 82 KSP Residual norm 1.163955849699e-10 
 83 KSP Residual norm 1.152569632706e-10 
 84 KSP Residual norm 1.141511160306e-10 
 85 KSP Residual norm 1.130765005133e-10 
 86 KSP Residual norm 1.120316737706e-10 
 87 KSP Residual norm 1.110152844947e-10 
 88 KSP Residual norm 1.100260656688e-10 
 89 KSP Residual norm 1.090628279248e-10 
 90 KSP Residual norm 1.081244535306e-10 
 91 KSP Residual norm 1.072098909363e-10 
 92 KSP Residual norm 1.063181498198e-10 
 93 KSP Residual norm 1.054482965778e-10 
 94 KSP Residual norm 1.045994502165e-10 
 95 KSP Residual norm 1.037707786006e-10 
 96 KSP Residual norm 1.029614950233e-10 
 97 KSP Residual norm 1.021708550672e-10 
 98 KSP Residual norm 1.013981537251e-10 
 99 KSP Residual norm 1.006427227580e-10 
100 KSP Residual norm 9.990392826546e-11 
