  Residual norms for solver_ solve.
  0 KSP Residual norm 8.844574666449e+00 
  1 KSP Residual norm 3.009007064448e-01 
  2 KSP Residual norm 2.785187164586e-01 
  3 KSP Residual norm 1.643746165899e-02 
  4 KSP Residual norm 1.570208671724e-02 
  5 KSP Residual norm 1.498796383961e-02 
  6 KSP Residual norm 5.077414694553e-03 
  7 KSP Residual norm 3.011219052280e-03 
  8 KSP Residual norm 1.917295219020e-03 
  9 KSP Residual norm 1.588889617268e-03 
 10 KSP Residual norm 1.513846880993e-03 
 11 KSP Residual norm 1.457167570590e-03 
 12 KSP Residual norm 1.418126615929e-03 
 13 KSP Residual norm 1.406095549154e-03 
 14 KSP Residual norm 1.308282187133e-03 
 15 KSP Residual norm 1.227009383587e-03 
 16 KSP Residual norm 1.128277618098e-03 
 17 KSP Residual norm 1.033704318237e-03 
 18 KSP Residual norm 9.352362667864e-04 
 19 KSP Residual norm 8.042900649300e-04 
 20 KSP Residual norm 7.083390897378e-04 
 21 KSP Residual norm 6.172814503334e-04 
 22 KSP Residual norm 5.704559198590e-04 
 23 KSP Residual norm 5.453978745874e-04 
 24 KSP Residual norm 5.207847208778e-04 
 25 KSP Residual norm 4.929193524616e-04 
 26 KSP Residual norm 4.087465643914e-04 
 27 KSP Residual norm 3.609643182336e-04 
 28 KSP Residual norm 3.153792657461e-04 
 29 KSP Residual norm 2.761136666934e-04 
 30 KSP Residual norm 2.416112890932e-04 
 31 KSP Residual norm 2.230937010728e-04 
 32 KSP Residual norm 2.156532963675e-04 
 33 KSP Residual norm 2.092859934503e-04 
 34 KSP Residual norm 2.004154202136e-04 
 35 KSP Residual norm 1.921786824377e-04 
 36 KSP Residual norm 1.796369790155e-04 
 37 KSP Residual norm 1.509099866392e-04 
 38 KSP Residual norm 1.178541048780e-04 
 39 KSP Residual norm 9.584238832763e-05 
 40 KSP Residual norm 8.450312846402e-05 
 41 KSP Residual norm 7.999563044766e-05 
 42 KSP Residual norm 7.705325743525e-05 
 43 KSP Residual norm 7.220325193628e-05 
 44 KSP Residual norm 6.173013018808e-05 
 45 KSP Residual norm 4.688850586106e-05 
 46 KSP Residual norm 3.432208984106e-05 
 47 KSP Residual norm 2.843426055668e-05 
 48 KSP Residual norm 2.607492771207e-05 
 49 KSP Residual norm 2.499059724859e-05 
 50 KSP Residual norm 2.343615702192e-05 
 51 KSP Residual norm 2.079579378796e-05 
 52 KSP Residual norm 1.625874076956e-05 
 53 KSP Residual norm 1.168116008702e-05 
 54 KSP Residual norm 1.009921212197e-05 
 55 KSP Residual norm 9.498345541063e-06 
 56 KSP Residual norm 9.062449344557e-06 
 57 KSP Residual norm 8.201579921440e-06 
 58 KSP Residual norm 6.483411396839e-06 
 59 KSP Residual norm 4.913262008242e-06 
 60 KSP Residual norm 4.171746833019e-06 
 61 KSP Residual norm 3.854626337532e-06 
 62 KSP Residual norm 3.662407438007e-06 
 63 KSP Residual norm 3.386458762897e-06 
 64 KSP Residual norm 2.980273314352e-06 
 65 KSP Residual norm 2.356780876729e-06 
 66 KSP Residual norm 1.834311146482e-06 
 67 KSP Residual norm 1.601349208087e-06 
 68 KSP Residual norm 1.503832128047e-06 
 69 KSP Residual norm 1.449927014028e-06 
 70 KSP Residual norm 1.393110869975e-06 
 71 KSP Residual norm 1.219071656542e-06 
 72 KSP Residual norm 9.685398711199e-07 
 73 KSP Residual norm 7.901174281291e-07 
 74 KSP Residual norm 7.094847926325e-07 
 75 KSP Residual norm 6.751671978021e-07 
 76 KSP Residual norm 6.462207953175e-07 
 77 KSP Residual norm 5.990969314361e-07 
 78 KSP Residual norm 5.149317373643e-07 
 79 KSP Residual norm 4.349557241725e-07 
 80 KSP Residual norm 3.780923392079e-07 
 81 KSP Residual norm 3.516760374663e-07 
 82 KSP Residual norm 3.355185941004e-07 
 83 KSP Residual norm 3.161222909616e-07 
 84 KSP Residual norm 2.774685936383e-07 
 85 KSP Residual norm 2.209336669252e-07 
 86 KSP Residual norm 1.812851506381e-07 
 87 KSP Residual norm 1.666026027645e-07 
 88 KSP Residual norm 1.558973167378e-07 
 89 KSP Residual norm 1.392355332376e-07 
 90 KSP Residual norm 1.126542811422e-07 
 91 KSP Residual norm 9.395725521904e-08 
 92 KSP Residual norm 8.099683802000e-08 
 93 KSP Residual norm 7.212449074152e-08 
 94 KSP Residual norm 6.522963437869e-08 
 95 KSP Residual norm 5.878433306426e-08 
