  Residual norms for solver_ solve.
  0 KSP Residual norm 9.806785900870e-01 
  1 KSP Residual norm 9.406510788088e-03 
  2 KSP Residual norm 6.695378422419e-03 
  3 KSP Residual norm 4.265002197033e-03 
  4 KSP Residual norm 1.739229495299e-03 
  5 KSP Residual norm 1.513525744768e-03 
  6 KSP Residual norm 6.391850023535e-04 
  7 KSP Residual norm 2.913760803734e-04 
  8 KSP Residual norm 2.878952483763e-04 
  9 KSP Residual norm 1.535193453381e-04 
 10 KSP Residual norm 1.518103069607e-04 
 11 KSP Residual norm 8.207994903965e-05 
 12 KSP Residual norm 4.375656470823e-05 
 13 KSP Residual norm 2.771521037652e-05 
 14 KSP Residual norm 2.281234528143e-05 
 15 KSP Residual norm 8.632375155830e-06 
 16 KSP Residual norm 4.302926341294e-06 
 17 KSP Residual norm 3.527896820550e-06 
 18 KSP Residual norm 1.166860485863e-06 
 19 KSP Residual norm 4.290633317287e-07 
 20 KSP Residual norm 4.015349300685e-07 
 21 KSP Residual norm 1.721573007725e-07 
 22 KSP Residual norm 6.118363587427e-08 
 23 KSP Residual norm 5.927771492069e-08 
 24 KSP Residual norm 2.881337197673e-08 
 25 KSP Residual norm 1.397792146896e-08 
 26 KSP Residual norm 1.199316674270e-08 
 27 KSP Residual norm 5.958592532578e-09 
 28 KSP Residual norm 3.275619428040e-09 
 29 KSP Residual norm 2.591779241305e-09 
 30 KSP Residual norm 1.867590657644e-09 
 31 KSP Residual norm 9.679554227012e-10 
 32 KSP Residual norm 4.214966745259e-10 
 33 KSP Residual norm 2.370135854428e-10 
 34 KSP Residual norm 1.422121676960e-10 
