1,	0.5,	2,	2,	5,	11.6
1,	0.5,	2,	3,	4,	13.5
1,	0.5,	2,	4,	4,	12.5
1,	0.5,	2,	5,	4,	11.5
1,	0.5,	2,	6,	4,	10.5
1,	0.5,	2,	7,	4,	9.75
1,	0.5,	2,	8,	3,	11
1,	0.25,	4,	2,	4,	14.75
1,	0.25,	4,	3,	4,	13.25
1,	0.25,	4,	4,	4,	12.5
1,	0.25,	4,	5,	4,	11
1,	0.25,	4,	6,	4,	10
1,	0.25,	4,	7,	4,	9
1,	0.25,	4,	8,	3,	11
1,	0.125,	8,	2,	4,	14.25
1,	0.125,	8,	3,	4,	13.25
1,	0.125,	8,	4,	4,	12.25
1,	0.125,	8,	5,	4,	11.5
1,	0.125,	8,	6,	4,	10
1,	0.125,	8,	7,	4,	9.25
1,	0.125,	8,	8,	3,	10.6667
1,	0.0625,	16,	2,	4,	14.5
1,	0.0625,	16,	3,	4,	13
1,	0.0625,	16,	4,	4,	12
1,	0.0625,	16,	5,	4,	10.75
1,	0.0625,	16,	6,	4,	9.5
1,	0.0625,	16,	7,	5,	6.8
1,	0.0625,	16,	8,	3,	10.3333
1,	0.03125,	32,	2,	4,	13.5
1,	0.03125,	32,	3,	4,	12.5
1,	0.03125,	32,	4,	4,	11.5
1,	0.03125,	32,	5,	5,	8
1,	0.03125,	32,	6,	4,	9.25
1,	0.03125,	32,	7,	4,	8.25
1,	0.03125,	32,	8,	3,	10.3333
1,	0.015625,	64,	2,	4,	13.25
1,	0.015625,	64,	3,	4,	12.25
1,	0.015625,	64,	4,	5,	8.8
1,	0.015625,	64,	5,	5,	8.2
1,	0.015625,	64,	6,	4,	8.5
1,	0.015625,	64,	7,	4,	8
1,	0.015625,	64,	8,	4,	7.25
1,	0.0078125,	128,	2,	4,	13
1,	0.0078125,	128,	3,	5,	9.4
1,	0.0078125,	128,	4,	5,	8.6
1,	0.0078125,	128,	5,	4,	9.25
1,	0.0078125,	128,	6,	4,	8.75
1,	0.0078125,	128,	7,	4,	7.75
1,	0.0078125,	128,	8,	4,	6.75
