1,	0.5,	2,	2,	5,	11.6,	2.71565e-10
1,	0.5,	2,	3,	4,	13.5,	9.29361e-10
1,	0.5,	2,	4,	4,	12.5,	7.01035e-10
1,	0.5,	2,	5,	4,	11.5,	5.30277e-10
1,	0.5,	2,	6,	4,	10.5,	8.14914e-10
1,	0.5,	2,	7,	4,	9.75,	7.31356e-10
1,	0.5,	2,	8,	3,	11,	6.99893e-09
1,	0.25,	4,	2,	4,	14.75,	1.01489e-09
1,	0.25,	4,	3,	4,	13.25,	5.85368e-10
1,	0.25,	4,	4,	4,	12.5,	4.25711e-10
1,	0.25,	4,	5,	4,	11,	8.77128e-10
1,	0.25,	4,	6,	4,	10,	8.01611e-10
1,	0.25,	4,	7,	4,	9,	1.76315e-09
1,	0.25,	4,	8,	3,	11,	3.70325e-09
1,	0.125,	8,	2,	4,	14.25,	6.3288e-10
1,	0.125,	8,	3,	4,	13.25,	3.78422e-10
1,	0.125,	8,	4,	4,	12.25,	7.80434e-10
1,	0.125,	8,	5,	4,	11.5,	5.49886e-10
1,	0.125,	8,	6,	4,	10,	1.53468e-09
1,	0.125,	8,	7,	4,	9.25,	1.15311e-09
1,	0.125,	8,	8,	3,	10.6667,	2.97259e-09
1,	0.0625,	16,	2,	4,	14.5,	4.65187e-10
1,	0.0625,	16,	3,	4,	13,	3.3805e-10
1,	0.0625,	16,	4,	4,	12,	7.1478e-10
1,	0.0625,	16,	5,	4,	10.75,	5.9277e-10
1,	0.0625,	16,	6,	4,	9.5,	1.20776e-09
1,	0.0625,	16,	7,	5,	6.8,	2.80316e-09
1,	0.0625,	16,	8,	3,	10.3333,	2.04815e-09
1,	0.03125,	32,	2,	4,	13.5,	8.06512e-10
1,	0.03125,	32,	3,	4,	12.5,	7.44621e-10
1,	0.03125,	32,	4,	4,	11.5,	7.55009e-10
1,	0.03125,	32,	5,	5,	8,	1.55227e-09
1,	0.03125,	32,	6,	4,	9.25,	1.1088e-09
1,	0.03125,	32,	7,	4,	8.25,	2.87884e-09
1,	0.03125,	32,	8,	3,	10.3333,	2.02295e-09
1,	0.015625,	64,	2,	4,	13.25,	7.83244e-10
1,	0.015625,	64,	3,	4,	12.25,	8.82812e-10
1,	0.015625,	64,	4,	5,	8.8,	1.85826e-09
1,	0.015625,	64,	5,	5,	8.2,	1.06417e-09
1,	0.015625,	64,	6,	4,	8.5,	3.58041e-09
1,	0.015625,	64,	7,	4,	8,	1.98029e-09
1,	0.015625,	64,	8,	4,	7.25,	4.87127e-09
1,	0.0078125,	128,	2,	4,	13,	7.59803e-10
1,	0.0078125,	128,	3,	5,	9.4,	1.86515e-09
1,	0.0078125,	128,	4,	5,	8.6,	1.2958e-09
1,	0.0078125,	128,	5,	4,	9.25,	4.23167e-09
1,	0.0078125,	128,	6,	4,	8.75,	2.87987e-09
1,	0.0078125,	128,	7,	4,	7.75,	6.67742e-09
1,	0.0078125,	128,	8,	4,	6.75,	5.25355e-09
