#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.59057	1	0	0	0	0
1	2.87307	1.80632	2.87307	0	1.5034e-08	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.59057	1	0	0	0	0
1	0.0836167	0.0525703	0.0836167	0	1.5034e-08	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.52426	1	0	0	0	0
1	0.0650222	0.0426582	0.0650222	0	1.17802e-08	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.59057	1	0	0	0	0
1	0.0836167	0.0525703	0.0836167	0	1.5034e-08	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.72674	1	0	0	0	0
1	0.373784	0.216468	0.373784	0	4.89954e-08	100
2	0.206767	0.119744	0.206767	0	2.47105e-08	100
3	0.091899	0.053221	0.091899	0	1.20668e-08	100
4	0.0381915	0.0221177	0.0381915	0	6.31646e-09	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.72674	1	0	0	0	0
1	0.373784	0.216468	0.373784	0	4.89954e-08	100
2	0.206767	0.119744	0.206767	0	2.47105e-08	100
3	0.091899	0.053221	0.091899	0	1.20668e-08	100
4	0.0381915	0.0221177	0.0381915	0	6.31646e-09	100
#It	Res norm	Rel res norm	Norm of update	Inner converged	Inner res	Inner its
0	1.72674	1	0	0	0	0
1	0.373784	0.216468	0.373784	0	4.89954e-08	100
2	0.206767	0.119744	0.206767	0	2.47105e-08	100
3	0.091899	0.053221	0.091899	0	1.20668e-08	100
4	0.0381915	0.0221177	0.0381915	0	6.31646e-09	100
