  Residual norms for solver_ solve.
  0 KSP Residual norm 7.180240607286e-01 
  1 KSP Residual norm 3.673659714309e-02 
  2 KSP Residual norm 1.279066857370e-02 
  3 KSP Residual norm 4.415722725289e-03 
  4 KSP Residual norm 2.003760419373e-03 
  5 KSP Residual norm 1.272794526632e-03 
  6 KSP Residual norm 4.602357214350e-04 
  7 KSP Residual norm 4.526888190283e-04 
  8 KSP Residual norm 1.748736316950e-04 
  9 KSP Residual norm 3.985124870148e-05 
 10 KSP Residual norm 1.359586827627e-05 
 11 KSP Residual norm 6.831151892811e-06 
 12 KSP Residual norm 3.569919241886e-06 
 13 KSP Residual norm 1.614185993235e-06 
 14 KSP Residual norm 1.600094291761e-06 
 15 KSP Residual norm 8.116657615817e-07 
 16 KSP Residual norm 3.999796479191e-07 
 17 KSP Residual norm 7.210078547172e-08 
 18 KSP Residual norm 2.928247519378e-08 
 19 KSP Residual norm 1.249931507366e-08 
 20 KSP Residual norm 6.413227269355e-09 
 21 KSP Residual norm 6.310140695350e-09 
 22 KSP Residual norm 2.480424881680e-09 
 23 KSP Residual norm 1.462150043341e-09 
 24 KSP Residual norm 6.237179565532e-10 
 25 KSP Residual norm 2.533506423182e-10 
 26 KSP Residual norm 6.755152890291e-11 
