  Residual norms for solver_ solve.
  0 KSP Residual norm 4.738122093355e-01 
  1 KSP Residual norm 4.530032097238e-03 
  2 KSP Residual norm 2.051123543523e-03 
  3 KSP Residual norm 8.321852770255e-04 
  4 KSP Residual norm 3.491598671905e-04 
  5 KSP Residual norm 3.051495381071e-04 
  6 KSP Residual norm 1.372014367594e-04 
  7 KSP Residual norm 7.344120920348e-05 
  8 KSP Residual norm 3.929628267602e-05 
  9 KSP Residual norm 3.924360235982e-05 
 10 KSP Residual norm 2.090933973560e-05 
 11 KSP Residual norm 1.096965535641e-05 
 12 KSP Residual norm 4.110566793977e-06 
 13 KSP Residual norm 1.677188599739e-06 
 14 KSP Residual norm 1.655273842207e-06 
 15 KSP Residual norm 5.524710597145e-07 
 16 KSP Residual norm 1.920304473586e-07 
 17 KSP Residual norm 8.244106077338e-08 
 18 KSP Residual norm 8.198719706929e-08 
 19 KSP Residual norm 2.950467450314e-08 
 20 KSP Residual norm 1.398869492361e-08 
 21 KSP Residual norm 6.859784990070e-09 
 22 KSP Residual norm 3.036549394405e-09 
 23 KSP Residual norm 3.020441079850e-09 
 24 KSP Residual norm 1.653905555907e-09 
 25 KSP Residual norm 9.451340017109e-10 
 26 KSP Residual norm 5.005608365404e-10 
 27 KSP Residual norm 4.870722589472e-10 
 28 KSP Residual norm 2.363104914821e-10 
 29 KSP Residual norm 9.791152189975e-11 
