  Residual norms for solver_ solve.
  0 KSP Residual norm 2.348844985292e-01 
  1 KSP Residual norm 1.198855045443e-02 
  2 KSP Residual norm 4.193903319502e-03 
  3 KSP Residual norm 1.453180394029e-03 
  4 KSP Residual norm 6.678243577544e-04 
  5 KSP Residual norm 6.573396125748e-04 
  6 KSP Residual norm 4.178227208453e-04 
  7 KSP Residual norm 1.496198124461e-04 
  8 KSP Residual norm 5.801550887042e-05 
  9 KSP Residual norm 5.446580414158e-05 
 10 KSP Residual norm 1.360760526179e-05 
 11 KSP Residual norm 4.686647994655e-06 
 12 KSP Residual norm 2.341419453630e-06 
 13 KSP Residual norm 1.265205805025e-06 
 14 KSP Residual norm 1.264979823164e-06 
 15 KSP Residual norm 5.740745428710e-07 
 16 KSP Residual norm 3.077800255005e-07 
 17 KSP Residual norm 1.549623366746e-07 
 18 KSP Residual norm 6.307635038988e-08 
 19 KSP Residual norm 4.891797155455e-08 
 20 KSP Residual norm 1.863455836639e-08 
 21 KSP Residual norm 8.290892519615e-09 
 22 KSP Residual norm 4.197779362237e-09 
 23 KSP Residual norm 4.184968440078e-09 
 24 KSP Residual norm 2.200682443724e-09 
 25 KSP Residual norm 1.200203202162e-09 
 26 KSP Residual norm 5.688044585519e-10 
 27 KSP Residual norm 3.130011188057e-10 
 28 KSP Residual norm 3.128327102273e-10 
 29 KSP Residual norm 1.349818229648e-10 
 30 KSP Residual norm 6.042013595381e-11 
