It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	3.12775	1	0	0
1	0.00756971	0.00242017	392.721	53
2	0.000113384	3.62509e-05	4.97281	40
3	1.34182e-06	4.29005e-07	0.02101	28
4	1.1979e-08	3.8299e-09	0.000173259	12
5	5.55074e-10	1.77467e-10	1.35164e-06	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	3.12775	1	0	0
1	0.00756971	0.00242018	392.72	31
2	0.000113384	3.62509e-05	4.97281	40
3	1.34182e-06	4.29005e-07	0.02101	28
4	1.19789e-08	3.82989e-09	0.000173259	12
5	5.55077e-10	1.77468e-10	1.35164e-06	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	3.12775	1	0	0
1	0.00756971	0.00242018	392.72	31
2	0.000113384	3.62509e-05	4.97281	40
3	1.34182e-06	4.29005e-07	0.02101	28
4	1.19789e-08	3.82989e-09	0.000173259	12
5	5.55077e-10	1.77468e-10	1.35164e-06	2
