It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.24863	1	0	0
1	0.00269042	0.0021547	658.892	65
2	3.57526e-05	2.86335e-05	7.04506	35
3	3.80138e-07	3.04444e-07	0.0263276	19
4	3.20566e-09	2.56734e-09	0.000194952	4
5	4.87884e-10	3.90736e-10	5.81507e-06	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.24863	1	0	0
1	0.00269042	0.0021547	658.892	34
2	3.57526e-05	2.86335e-05	7.04506	35
3	3.80138e-07	3.04444e-07	0.0263276	19
4	3.20566e-09	2.56734e-09	0.000194952	4
5	4.87886e-10	3.90737e-10	5.81507e-06	2
