It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.56908	1	0	0
1	0.0282329	0.0179933	109.123	37
2	0.000398461	0.000253946	1.40427	30
3	4.65692e-06	2.96793e-06	0.00577779	21
4	4.72821e-08	3.01337e-08	4.90264e-05	11
5	5.27609e-10	3.36254e-10	4.9326e-07	4
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.56908	1	0	0
1	0.0282329	0.0179933	109.123	33
2	0.000398461	0.000253946	1.40427	30
3	4.65692e-06	2.96793e-06	0.00577779	21
4	4.72821e-08	3.01337e-08	4.90264e-05	11
5	5.27608e-10	3.36253e-10	4.9326e-07	4
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.56908	1	0	0
1	0.0282329	0.0179933	109.123	33
2	0.000398461	0.000253946	1.40427	30
3	4.65692e-06	2.96793e-06	0.00577779	21
4	4.72821e-08	3.01337e-08	4.90264e-05	11
5	5.27608e-10	3.36253e-10	4.9326e-07	4
