It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.626189	1	0	0
1	0.0100318	0.0160205	182.858	41
2	0.000125537	0.000200477	1.98967	26
3	1.3186e-06	2.10575e-06	0.00724719	17
4	1.23104e-08	1.96593e-08	5.50544e-05	8
5	2.70039e-10	4.31243e-10	4.14091e-07	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.626189	1	0	0
1	0.0100318	0.0160205	182.858	37
2	0.000125537	0.000200477	1.98967	26
3	1.3186e-06	2.10575e-06	0.00724719	17
4	1.23105e-08	1.96594e-08	5.50544e-05	8
5	2.70037e-10	4.31239e-10	4.14093e-07	2
