It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.21331	1	0	0
1	0.0148466	0.00670786	203.631	45
2	0.000217442	9.82431e-05	2.5916	36
3	2.56664e-06	1.15964e-06	0.0108817	25
4	2.33341e-08	1.05427e-08	9.10767e-05	12
5	3.65533e-10	1.65153e-10	8.33895e-07	3
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.21331	1	0	0
1	0.0148466	0.00670786	203.631	33
2	0.000217442	9.82431e-05	2.5916	36
3	2.56664e-06	1.15964e-06	0.0108817	25
4	2.33341e-08	1.05426e-08	9.10767e-05	12
5	3.65534e-10	1.65153e-10	8.33898e-07	3
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.21331	1	0	0
1	0.0148466	0.00670786	203.631	33
2	0.000217442	9.82431e-05	2.5916	36
3	2.56664e-06	1.15964e-06	0.0108817	25
4	2.33341e-08	1.05426e-08	9.10767e-05	12
5	3.65534e-10	1.65153e-10	8.33898e-07	3
