It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.960652	1	0	0
1	0.0161151	0.0167751	137.727	40
2	0.000212464	0.000221167	1.60007	28
3	2.34882e-06	2.44502e-06	0.00614447	17
4	2.29152e-08	2.38538e-08	4.92337e-05	8
5	2.83429e-10	2.95038e-10	4.37643e-07	3
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.960652	1	0	0
1	0.0161151	0.0167751	137.727	35
2	0.000212464	0.000221167	1.60007	28
3	2.34882e-06	2.44502e-06	0.00614448	17
4	2.29156e-08	2.38542e-08	4.92337e-05	8
5	2.83403e-10	2.95011e-10	4.37623e-07	3
