It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.293047	1	0	0
1	0.00450685	0.0153793	347.641	42
2	5.364e-05	0.000183042	3.57143	26
3	5.33897e-07	1.82188e-06	0.0123642	17
4	4.74746e-09	1.62003e-08	8.85009e-05	6
5	5.90501e-10	2.01504e-09	1.48653e-07	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.293047	1	0	0
1	0.00450685	0.0153793	347.641	42
2	5.364e-05	0.000183042	3.57143	26
3	5.33897e-07	1.82188e-06	0.0123642	17
4	4.74738e-09	1.62001e-08	8.8501e-05	6
5	5.90229e-10	2.01411e-09	1.4865e-07	1
