It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.91532	1	0	0
1	0.0043214	0.00225623	496.042	61
2	6.04868e-05	3.15805e-05	5.66581	40
3	6.76965e-07	3.53447e-07	0.0223322	23
4	5.81232e-09	3.03464e-09	0.000174335	6
5	3.26662e-10	1.70552e-10	1.602e-06	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.91532	1	0	0
1	0.0043214	0.00225623	496.042	33
2	6.04868e-05	3.15805e-05	5.66581	39
3	6.76965e-07	3.53447e-07	0.022332	23
4	5.81229e-09	3.03462e-09	0.000174335	6
5	3.25892e-10	1.7015e-10	1.60156e-06	2
