It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.845322	1	0	0
1	0.0017737	0.00209825	901.394	65
2	2.28271e-05	2.70041e-05	9.28146	31
3	2.34527e-07	2.77441e-07	0.0335647	13
4	1.99299e-09	2.35767e-09	0.000240932	4
5	7.32161e-10	8.66134e-10	4.57881e-07	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.845322	1	0	0
1	0.0017737	0.00209825	901.394	35
2	2.28271e-05	2.70041e-05	9.28148	31
3	2.34527e-07	2.77441e-07	0.0335647	13
4	1.99239e-09	2.35696e-09	0.000240922	4
5	7.30539e-10	8.64214e-10	4.57891e-07	1
