It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.413505	1	0	0
1	0.00237054	0.0057328	649.405	45
2	2.92903e-05	7.08342e-05	6.59044	27
3	2.94253e-07	7.11608e-07	0.0232588	13
4	2.40448e-09	5.81487e-09	0.000170618	4
5	6.33262e-10	1.53145e-09	2.86403e-07	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.413505	1	0	0
1	0.00237054	0.0057328	649.405	39
2	2.92902e-05	7.08341e-05	6.59043	27
3	2.94253e-07	7.11608e-07	0.0232589	13
4	2.40427e-09	5.81436e-09	0.000170618	4
5	6.33243e-10	1.5314e-09	2.8639e-07	1
