It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.883515	1	0	0
1	0.00527626	0.0059719	341.498	47
2	6.85363e-05	7.75723e-05	3.67169	28
3	7.26772e-07	8.22592e-07	0.0136383	17
4	6.05496e-09	6.85326e-09	0.000102378	6
5	2.01382e-10	2.27933e-10	8.21895e-07	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.883515	1	0	0
1	0.00527626	0.0059719	341.498	36
2	6.85363e-05	7.75723e-05	3.67169	28
3	7.26772e-07	8.22592e-07	0.0136383	17
4	6.05477e-09	6.85304e-09	0.000102378	6
5	2.01376e-10	2.27926e-10	8.21846e-07	2
