It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.423902	1	0	0
1	0.00661319	0.0156008	250.094	40
2	8.01332e-05	0.000189037	2.62135	26
3	8.13452e-07	1.91896e-06	0.00924156	17
4	7.34519e-09	1.73276e-08	6.77272e-05	7
5	2.02017e-10	4.76565e-10	5.84175e-07	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.423902	1	0	0
1	0.00661319	0.0156008	250.094	38
2	8.01332e-05	0.000189037	2.62135	26
3	8.13452e-07	1.91896e-06	0.00924156	17
4	7.34521e-09	1.73276e-08	6.77272e-05	7
5	2.02019e-10	4.7657e-10	5.84179e-07	2
