It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.598132	1	0	0
1	0.00347836	0.00581538	467.144	48
2	4.37539e-05	7.31509e-05	4.83728	27
3	4.48362e-07	7.49603e-07	0.0173863	15
4	3.62067e-09	6.0533e-09	0.000127494	5
5	5.35671e-10	8.95573e-10	2.22076e-07	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.598132	1	0	0
1	0.00347836	0.00581538	467.144	37
2	4.37539e-05	7.31509e-05	4.83727	27
3	4.48362e-07	7.49603e-07	0.0173863	15
4	3.6204e-09	6.05285e-09	0.000127493	5
5	5.35672e-10	8.95575e-10	2.22119e-07	1
