It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.144007	1	0	0
1	0.00219003	0.0152078	686.183	52
2	2.56946e-05	0.000178426	6.93969	32
3	2.51619e-07	1.74727e-06	0.0236678	16
4	2.34096e-09	1.62559e-08	0.00017296	5
5	9.0899e-10	6.31213e-09	2.74548e-07	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.144007	1	0	0
1	0.00219003	0.0152078	686.183	53
2	2.56946e-05	0.000178426	6.93968	32
3	2.51617e-07	1.74726e-06	0.0236676	16
4	2.34323e-09	1.62717e-08	0.000173339	5
5	9.1596e-10	6.36054e-09	2.74589e-07	1
