It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.70818	1	0	0
1	0.00217585	0.000803435	973.875	79
2	3.07669e-05	1.13607e-05	11.0949	51
3	3.44667e-07	1.27269e-07	0.04388	25
4	3.01548e-09	1.11347e-09	0.000344806	5
5	7.52498e-10	2.77861e-10	8.43955e-07	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	2.70818	1	0	0
1	0.00217585	0.000803435	973.875	32
2	3.07669e-05	1.13607e-05	11.0949	51
3	3.44667e-07	1.27269e-07	0.04388	25
4	3.01548e-09	1.11347e-09	0.000344806	5
5	7.52526e-10	2.77872e-10	8.43956e-07	1
