It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.65942	1	0	0
1	0.000272968	3.56382e-05	7663.34	200
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.65942	1	0	0
1	0.000272968	3.56382e-05	7663.34	200
2	3.8853e-06	5.07258e-07	87.1259	121
3	4.35937e-08	5.69152e-09	0.344799	43
4	2.33147e-09	3.04393e-10	0.00254069	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	7.65942	1	0	0
1	0.000272964	3.56376e-05	7663.32	27
2	3.88438e-06	5.07138e-07	87.103	115
3	4.36272e-08	5.69588e-09	0.344975	40
4	2.39035e-09	3.12079e-10	0.00284783	3
