It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.584397	1	0	0
1	0.00120881	0.00206847	1253.14	63
2	1.52822e-05	2.61503e-05	12.6453	27
3	1.53937e-07	2.63411e-07	0.0449311	12
4	1.43117e-09	2.44897e-09	0.000311585	3
5	8.06349e-10	1.3798e-09	6.07479e-07	1
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	0.584397	1	0	0
1	0.00120881	0.00206847	1253.14	35
2	1.52822e-05	2.61503e-05	12.6453	27
3	1.53937e-07	2.63411e-07	0.0449303	12
4	1.43056e-09	2.44792e-09	0.000311517	3
5	8.05279e-10	1.37797e-09	6.07498e-07	1
