It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.35529	1	0	0
1	0.00847514	0.00625336	257.136	47
2	0.000115971	8.55692e-05	2.95282	34
3	1.29456e-06	9.55189e-07	0.0115672	20
4	1.13147e-08	8.34854e-09	9.18153e-05	7
5	3.26432e-10	2.40857e-10	6.63874e-07	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	1.35529	1	0	0
1	0.00847514	0.00625336	257.136	35
2	0.000115971	8.55692e-05	2.95282	34
3	1.29456e-06	9.55189e-07	0.0115672	20
4	1.13147e-08	8.34848e-09	9.18153e-05	7
5	3.2643e-10	2.40856e-10	6.63867e-07	2
