It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.42245	1	0	0
1	0.0038113	0.000861806	770.917	61
2	5.7666e-05	1.30394e-05	9.7379	51
3	6.83068e-07	1.54455e-07	0.0412876	37
4	6.11064e-09	1.38173e-09	0.000337545	13
5	5.84665e-10	1.32204e-10	3.38935e-06	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.42245	1	0	0
1	0.0038113	0.000861806	770.917	30
2	5.7666e-05	1.30394e-05	9.7379	51
3	6.83068e-07	1.54455e-07	0.0412876	37
4	6.10986e-09	1.38155e-09	0.000337545	13
5	5.84641e-10	1.32198e-10	3.38981e-06	2
It	ResidualNorm	ResRelNorm	NormDiffPrevIt	GMRESits
0	4.42245	1	0	0
1	0.0038113	0.000861806	770.917	30
2	5.7666e-05	1.30394e-05	9.7379	51
3	6.83068e-07	1.54455e-07	0.0412876	37
4	6.10986e-09	1.38155e-09	0.000337545	13
5	5.84641e-10	1.32198e-10	3.38981e-06	2
