1,	0.25,	4,	4,	1,	10,	3.87715e-11
1,	0.25,	4,	4,	1,	10,	3.87715e-11
1,	0.25,	4,	4,	1,	200,	0.431615
1,	0.25,	4,	4,	1,	200,	0.428242
1,	0.25,	4,	4,	10,	20,	nan
1,	0.25,	4,	4,	10,	20,	nan
1,	0.25,	4,	4,	10,	3,	nan
1,	0.25,	4,	1,	10,	30,	5.67214e+17
1,	0.25,	4,	1,	10,	30,	5.67214e+17
1,	0.25,	4,	1,	10,	30,	5.67214e+17
1,	0.25,	4,	1,	2,	1,	3.04474
1,	0.25,	4,	1,	2,	0,	3.05335
1,	0.25,	4,	1,	2,	1,	3.15479
1,	0.25,	4,	1,	2,	1,	39.3032
1,	0.25,	4,	1,	2,	1,	39.4159
1,	0.25,	4,	1,	2,	1,	39.4159
1,	0.25,	4,	1,	2,	1,	39.2968
1,	0.25,	4,	1,	2,	1,	39.4159
1,	0.25,	4,	1,	2,	1,	39.4159
1,	0.25,	4,	1,	2,	1,	39.4159
1,	0.25,	4,	1,	2,	1,	39.4159
1,	0.25,	4,	1,	2,	1,	39.4159
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
1,	0.25,	4,	1,	2,	1,	38.7983
