  Residual norms for solver_ solve.
  0 KSP Residual norm 1.765513928292e+00 
  1 KSP Residual norm 1.075787165897e-02 
  2 KSP Residual norm 6.431991584499e-03 
  3 KSP Residual norm 3.755114899907e-03 
  4 KSP Residual norm 3.745700840568e-03 
  5 KSP Residual norm 2.006144509879e-03 
  6 KSP Residual norm 1.999383190975e-03 
  7 KSP Residual norm 8.461841818439e-04 
  8 KSP Residual norm 8.354696259561e-04 
  9 KSP Residual norm 3.495953067470e-04 
 10 KSP Residual norm 3.431253349419e-04 
 11 KSP Residual norm 1.607279517370e-04 
 12 KSP Residual norm 1.586334642547e-04 
 13 KSP Residual norm 8.069577434964e-05 
 14 KSP Residual norm 7.881260210455e-05 
 15 KSP Residual norm 3.832314691207e-05 
 16 KSP Residual norm 3.702459546729e-05 
 17 KSP Residual norm 1.868202752097e-05 
 18 KSP Residual norm 1.827528790860e-05 
 19 KSP Residual norm 1.082819908092e-05 
 20 KSP Residual norm 1.057452132286e-05 
 21 KSP Residual norm 5.836678853373e-06 
 22 KSP Residual norm 5.714061185855e-06 
 23 KSP Residual norm 3.430589748568e-06 
 24 KSP Residual norm 3.352422264641e-06 
 25 KSP Residual norm 1.902715450580e-06 
 26 KSP Residual norm 1.890616395818e-06 
 27 KSP Residual norm 1.055370341550e-06 
 28 KSP Residual norm 1.026528830200e-06 
 29 KSP Residual norm 6.519161912401e-07 
 30 KSP Residual norm 6.324567536080e-07 
 31 KSP Residual norm 4.159276100011e-07 
 32 KSP Residual norm 3.991483190522e-07 
 33 KSP Residual norm 2.283910922549e-07 
 34 KSP Residual norm 2.142423981008e-07 
 35 KSP Residual norm 1.234232138944e-07 
 36 KSP Residual norm 1.109824579789e-07 
 37 KSP Residual norm 5.907536872521e-08 
 38 KSP Residual norm 5.493916645782e-08 
 39 KSP Residual norm 2.972150587501e-08 
 40 KSP Residual norm 2.675006706576e-08 
 41 KSP Residual norm 1.432656912915e-08 
 42 KSP Residual norm 1.316182490491e-08 
 43 KSP Residual norm 6.659517839944e-09 
 44 KSP Residual norm 5.848059417337e-09 
 45 KSP Residual norm 2.927330621177e-09 
 46 KSP Residual norm 2.627882549710e-09 
 47 KSP Residual norm 1.220334089112e-09 
 48 KSP Residual norm 1.133266741974e-09 
 49 KSP Residual norm 4.636232060006e-10 
 50 KSP Residual norm 4.460239103560e-10 
 51 KSP Residual norm 2.270736444645e-10 
