  Residual norms for solver_ solve.
  0 KSP Residual norm 2.337052739126e+00 
  1 KSP Residual norm 8.013252931886e-04 
  2 KSP Residual norm 3.867108824669e-04 
  3 KSP Residual norm 2.254124839285e-04 
  4 KSP Residual norm 2.253500802005e-04 
  5 KSP Residual norm 1.226909299342e-04 
  6 KSP Residual norm 1.225937394508e-04 
  7 KSP Residual norm 4.884286896939e-05 
  8 KSP Residual norm 4.880421901554e-05 
  9 KSP Residual norm 2.060744606571e-05 
 10 KSP Residual norm 2.058654990519e-05 
 11 KSP Residual norm 1.099666725349e-05 
 12 KSP Residual norm 1.097827621630e-05 
 13 KSP Residual norm 5.788576103377e-06 
 14 KSP Residual norm 5.758964951970e-06 
 15 KSP Residual norm 3.086381809611e-06 
 16 KSP Residual norm 3.069536603365e-06 
 17 KSP Residual norm 1.776706110032e-06 
 18 KSP Residual norm 1.763081714522e-06 
 19 KSP Residual norm 1.018613173673e-06 
 20 KSP Residual norm 9.987846785202e-07 
 21 KSP Residual norm 6.009256428716e-07 
 22 KSP Residual norm 5.911859645932e-07 
 23 KSP Residual norm 3.085543115697e-07 
 24 KSP Residual norm 3.040184923998e-07 
 25 KSP Residual norm 1.560409697390e-07 
 26 KSP Residual norm 1.548682567306e-07 
 27 KSP Residual norm 7.893064482814e-08 
 28 KSP Residual norm 7.813616198001e-08 
 29 KSP Residual norm 3.881988392640e-08 
 30 KSP Residual norm 3.859254512111e-08 
 31 KSP Residual norm 2.182569024503e-08 
 32 KSP Residual norm 2.174002400223e-08 
 33 KSP Residual norm 1.277341692310e-08 
 34 KSP Residual norm 1.270287272865e-08 
 35 KSP Residual norm 7.829330633350e-09 
 36 KSP Residual norm 7.774158630219e-09 
 37 KSP Residual norm 4.822663008904e-09 
 38 KSP Residual norm 4.800349868946e-09 
 39 KSP Residual norm 2.835363156897e-09 
 40 KSP Residual norm 2.803433098495e-09 
 41 KSP Residual norm 1.719593633096e-09 
 42 KSP Residual norm 1.692405243355e-09 
 43 KSP Residual norm 1.078085545476e-09 
 44 KSP Residual norm 1.052501267569e-09 
 45 KSP Residual norm 5.882517327227e-10 
 46 KSP Residual norm 5.678112908025e-10 
 47 KSP Residual norm 2.828887114200e-10 
