  Residual norms for solver_ solve.
  0 KSP Residual norm 4.062199179244e-01 
  1 KSP Residual norm 1.263955863340e-03 
  2 KSP Residual norm 6.220188263228e-04 
  3 KSP Residual norm 2.085395031869e-04 
  4 KSP Residual norm 2.085223822214e-04 
  5 KSP Residual norm 1.175617396068e-04 
  6 KSP Residual norm 5.524598039961e-05 
  7 KSP Residual norm 2.409433308931e-05 
  8 KSP Residual norm 2.409238301402e-05 
  9 KSP Residual norm 1.424863590242e-05 
 10 KSP Residual norm 7.996300869761e-06 
 11 KSP Residual norm 4.728772585156e-06 
 12 KSP Residual norm 4.728449660543e-06 
 13 KSP Residual norm 2.549788983723e-06 
 14 KSP Residual norm 1.263143196293e-06 
 15 KSP Residual norm 7.550602496089e-07 
 16 KSP Residual norm 7.550230900927e-07 
 17 KSP Residual norm 4.337623144109e-07 
 18 KSP Residual norm 2.783226643523e-07 
 19 KSP Residual norm 1.798619443185e-07 
 20 KSP Residual norm 1.798539370203e-07 
 21 KSP Residual norm 1.026059657861e-07 
 22 KSP Residual norm 6.692908517547e-08 
 23 KSP Residual norm 4.010516777391e-08 
 24 KSP Residual norm 4.010303697519e-08 
 25 KSP Residual norm 2.099571998140e-08 
 26 KSP Residual norm 1.129959695648e-08 
 27 KSP Residual norm 5.567599921779e-09 
 28 KSP Residual norm 5.567271337894e-09 
 29 KSP Residual norm 2.566775189938e-09 
 30 KSP Residual norm 1.146421854099e-09 
 31 KSP Residual norm 5.475786224727e-10 
 32 KSP Residual norm 5.475404852290e-10 
 33 KSP Residual norm 2.530602443271e-10 
 34 KSP Residual norm 1.204504337128e-10 
 35 KSP Residual norm 4.503998838222e-11 
