  Residual norms for solver_ solve.
  0 KSP Residual norm 6.324352049113e+00 
  1 KSP Residual norm 7.221191688043e-03 
  2 KSP Residual norm 4.074120922813e-03 
  3 KSP Residual norm 3.147584318152e-03 
  4 KSP Residual norm 1.919977722160e-03 
  5 KSP Residual norm 1.066563994434e-03 
  6 KSP Residual norm 5.796784566197e-04 
  7 KSP Residual norm 3.306097541276e-04 
  8 KSP Residual norm 1.981811151077e-04 
  9 KSP Residual norm 1.865585795157e-04 
 10 KSP Residual norm 1.145882506651e-04 
 11 KSP Residual norm 7.059834630558e-05 
 12 KSP Residual norm 4.352094510067e-05 
 13 KSP Residual norm 2.602809788952e-05 
 14 KSP Residual norm 1.644949087050e-05 
 15 KSP Residual norm 1.049265459526e-05 
 16 KSP Residual norm 6.896785932923e-06 
 17 KSP Residual norm 4.514967259237e-06 
 18 KSP Residual norm 4.051712593826e-06 
 19 KSP Residual norm 2.796022918697e-06 
 20 KSP Residual norm 1.701582204240e-06 
 21 KSP Residual norm 1.008964883139e-06 
 22 KSP Residual norm 5.298777276468e-07 
 23 KSP Residual norm 2.808977154279e-07 
 24 KSP Residual norm 1.548322468808e-07 
 25 KSP Residual norm 7.752239282835e-08 
 26 KSP Residual norm 4.159219878784e-08 
 27 KSP Residual norm 3.514361228149e-08 
 28 KSP Residual norm 2.376716519259e-08 
 29 KSP Residual norm 1.240353869772e-08 
 30 KSP Residual norm 6.981194871028e-09 
 31 KSP Residual norm 3.754980544235e-09 
 32 KSP Residual norm 2.102478283890e-09 
 33 KSP Residual norm 1.157360875602e-09 
  Residual norms for solver_ solve.
  0 KSP Residual norm 6.324352049113e+00 
  1 KSP Residual norm 7.221191688043e-03 
  2 KSP Residual norm 4.074120922813e-03 
  3 KSP Residual norm 3.147584318152e-03 
  4 KSP Residual norm 1.919977722164e-03 
  5 KSP Residual norm 1.066563994412e-03 
  6 KSP Residual norm 5.796784570451e-04 
  7 KSP Residual norm 3.306097381226e-04 
  8 KSP Residual norm 1.981719614397e-04 
  9 KSP Residual norm 1.865551815424e-04 
 10 KSP Residual norm 1.145882505764e-04 
 11 KSP Residual norm 7.059834630479e-05 
 12 KSP Residual norm 4.352094510759e-05 
 13 KSP Residual norm 2.602809787801e-05 
 14 KSP Residual norm 1.644949086361e-05 
 15 KSP Residual norm 1.049265462592e-05 
 16 KSP Residual norm 6.896785593921e-06 
 17 KSP Residual norm 4.514972756543e-06 
 18 KSP Residual norm 4.053569495821e-06 
 19 KSP Residual norm 2.796022758727e-06 
 20 KSP Residual norm 1.701582152788e-06 
 21 KSP Residual norm 1.008964840887e-06 
 22 KSP Residual norm 5.298777272822e-07 
 23 KSP Residual norm 2.808977147664e-07 
 24 KSP Residual norm 1.548322470927e-07 
 25 KSP Residual norm 7.752239452922e-08 
 26 KSP Residual norm 4.159185298141e-08 
 27 KSP Residual norm 3.511271542979e-08 
 28 KSP Residual norm 2.376716044594e-08 
 29 KSP Residual norm 1.240353874534e-08 
 30 KSP Residual norm 6.981194855326e-09 
 31 KSP Residual norm 3.754980544127e-09 
 32 KSP Residual norm 2.102478303590e-09 
 33 KSP Residual norm 1.157360871989e-09 
