  Residual norms for solver_ solve.
  0 KSP Residual norm 1.168542323366e+00 
  1 KSP Residual norm 1.531234908089e-03 
  2 KSP Residual norm 8.932612677077e-04 
  3 KSP Residual norm 4.805609221044e-04 
  4 KSP Residual norm 1.910129849701e-04 
  5 KSP Residual norm 1.882248714685e-04 
  6 KSP Residual norm 7.893734049555e-05 
  7 KSP Residual norm 4.203583689539e-05 
  8 KSP Residual norm 2.203734690853e-05 
  9 KSP Residual norm 1.232532851544e-05 
 10 KSP Residual norm 1.151691770689e-05 
 11 KSP Residual norm 6.538261679953e-06 
 12 KSP Residual norm 3.724406625082e-06 
 13 KSP Residual norm 2.151382372975e-06 
 14 KSP Residual norm 1.401852111825e-06 
 15 KSP Residual norm 1.092377897788e-06 
 16 KSP Residual norm 5.803481407163e-07 
 17 KSP Residual norm 3.096458247825e-07 
 18 KSP Residual norm 1.722385932886e-07 
 19 KSP Residual norm 1.591976479883e-07 
 20 KSP Residual norm 1.128157497264e-07 
 21 KSP Residual norm 7.323844363286e-08 
 22 KSP Residual norm 4.504894449199e-08 
 23 KSP Residual norm 2.594553061601e-08 
 24 KSP Residual norm 2.574128782222e-08 
 25 KSP Residual norm 1.478326434288e-08 
 26 KSP Residual norm 8.292280020304e-09 
 27 KSP Residual norm 4.637357720780e-09 
 28 KSP Residual norm 2.300520033543e-09 
 29 KSP Residual norm 2.297852864475e-09 
 30 KSP Residual norm 9.583276974616e-10 
 31 KSP Residual norm 4.738544524808e-10 
 32 KSP Residual norm 2.408027138035e-10 
 33 KSP Residual norm 1.220758486401e-10 
